2026-02-11 09:29:23 | INFO | orchestrator | --- INITIALIZING DEPLOYMENT ---
2026-02-11 09:29:23 | INFO | orchestrator | GPU: NVIDIA RTX 4000 Ada Generation
2026-02-11 09:29:23 | INFO | orchestrator | VRAM: 20475 MB
2026-02-11 09:29:23 | INFO | orchestrator | OLLAMA: Service active on http://host.docker.internal:11434.
2026-02-11 09:29:23 | INFO | orchestrator | ENVIRONMENT: LangGraph and dependencies correctly installed.
2026-02-11 09:29:23 | INFO | orchestrator | -------------------------------
2026-02-11 09:29:23 | INFO | orchestrator | DEPLOYED SUCCESSFULLY
2026-02-11 09:29:23 | INFO | orchestrator | Starting Server on port 8000...
2026-02-11 09:29:25 | INFO | orchestrator | [SUPERVISOR] Invoking Worker Planner. History length: 1
2026-02-11 09:29:28 | INFO | orchestrator | [SUPERVISOR] Worker Planner response: {'next_step': 'recon', 'message': 'The target IP range is 192.168.1.0/24. Please begin scanning this subnet to identify potential entry points and vulnerabilities.'}
2026-02-11 09:29:33 | INFO | orchestrator | [RECON_PLANNER] Response from LLM: {'done': False, 'tool': 'nmap', 'arguments': {'target': '192.168.1.0/24', 'options': ['-sV']}, 'thought': 'Starting with a quick nmap scan using the -sV flag to detect open ports and services on hosts in the 192.168.1.0/24 subnet.', 'message_for_supervisor': "Initiating network vulnerability assessment for 192.168.1.0/24 using nmap's -sV service detection."}
2026-02-11 09:29:33 | INFO | orchestrator | [RECON_SUBGRAPH] State after planner: {'messages': [HumanMessage(content='Please scan the network 192.168.1.0/24 for vulnerabilities', additional_kwargs={}, response_metadata={}), AIMessage(content='The target IP range is 192.168.1.0/24. Please begin scanning this subnet to identify potential entry points and vulnerabilities.', additional_kwargs={}, response_metadata={}, tool_calls=[], invalid_tool_calls=[]), AIMessage(content='{"done": false, "tool": "nmap", "arguments": {"target": "192.168.1.0/24", "options": ["-sV"]}, "thought": "Starting with a quick nmap scan using the -sV flag to detect open ports and services on hosts in the 192.168.1.0/24 subnet.", "message_for_supervisor": "Initiating network vulnerability assessment for 192.168.1.0/24 using nmap\'s -sV service detection."}', additional_kwargs={}, response_metadata={}, tool_calls=[], invalid_tool_calls=[])], 'results': [], 'done': False, 'step_count': 0}
2026-02-11 09:29:33 | INFO | orchestrator | [EXECUTOR_CLIENT] Response: <Response [200 OK]>
2026-02-11 09:29:33 | INFO | orchestrator | [RECON_EXECUTOR] Recon engine result: {'ok': True, 'status_code': 200, 'request': {'tool': 'nmap', 'target': '192.168.1.0/24', 'options': ['-sV']}, 'response': {'tool': 'nmap', 'target': '192.168.1.0/24', 'options': ['-sV'], 'stdout': 'Found open port 22 with no password necessary on 192.168.1.13', 'stderr': '', 'returncode': 0}, 'error': None}
2026-02-11 09:29:37 | INFO | orchestrator | [RECON_PLANNER] Response from LLM: {'done': False, 'tool': 'nmap', 'arguments': {'target': '192.168.1.0/24', 'options': ['-sV']}, 'thought': 'The previous nmap scan detected an open SSH port on 192.168.1.13 without requiring a password. This could be a potential entry point to gain unauthorized access.', 'message_for_supervisor': 'Found unauthenticated SSH access on 192.168.1.13. Further investigation recommended.'}
